,Company Name,P/E Ratio,P/S Ratio,Cash Flow,P/B Ratio,Debt to Equity,Dividend Yield,Payout Ratio
0,Aviva,4.45,0.16,2.39,0.65,55.43,3.38,48.5
1,Elementis,11.54,0.61,11.53,0.59,66.2,3.11,35.44
2,Grafton,11.65,0.63,12.23,1.23,64.77,0.93,31.37
3,Hunting,11.22,0.45,5.38,0.36,4.2,1.99,45.84
4,Royal Mail,11.25,0.17,4.98,0.32,50.22,4.14,46.58
5,Biffa,11.29,0.54,6.2,1.25,134.94,1.2,13.54
6,C&C Group,9.17,0.43,12.57,1.2,99.58,2.44,63.88
7,Card Factory,2.92,0.33,3.22,0.68,132.51,6.58,33.14
8,Rank,11.29,0.74,14.89,1.36,102.17,5.89,44.06
9,TI Fluid Systems,7.84,0.33,8.63,0.95,113.14,1.38,32.91
